Type,BMU,Name,GSP region
IC: IFA (Demand),I_I2D-STAT1,IFA2 Interconnector (Demand) - Statkraft Markets Gmbh ,South East England
IC: IFA (Demand),I_I2D-TGPL1,IFA2 Interconnector (Demand) - Total Gas & Power Ltd ,South East England
IC: IFA (Demand),I_I2D-TRLS1,IFA2 Interconnector (Demand) - TrailStone Renewables GmbH ,South East England
IC: IFA (Demand),I_I2D-VSAL1,IFA2 Interconnector (Demand) - VITOL SA ,South East England
IC: IFA (Demand),I_I2D-VTET1,IFA2 Interconnector (Demand) - Vattenfall Energy Trading ,South East England
IC: IFA (Demand),I_I2D-XNON1,IFA2 Interconnector (Demand) - XENON Capital Markets Ltd ,South East England
IC: IFA (Generation),I_I2G-ALEU1,IFA2 Interconnector (Generation) - Alphataraxia Europium BV,South East England
IC: IFA (Generation),I_I2G-AXPO1,IFA2 Interconnector (Generation) - Axpo Solutions AG ,South East England
IC: IFA (Generation),I_I2G-BKWE1,IFA2 Interconnector (Generation) - BKW Energie AG ,South East England
IC: IFA (Generation),I_I2G-BPGM1,IFA2 Interconnector (Generation) - BP Gas Marketing Limited ,South East England
IC: IFA (Generation),I_I2G-CBST1,IFA2 Interconnector (Generation) - Cobblestone Energy ,South East England
IC: IFA (Generation),I_I2G-CENT1,IFA2 Interconnector (Generation) - Centrica Energy Trading A/S ,South East England
IC: IFA (Generation),I_I2G-CEZC1,IFA2 Interconnector (Generation) - CEZ A/S ,South East England
IC: IFA (Generation),I_I2G-CNGS1,IFA2 Interconnector (Generation) - Cenergise Limited ,South East England
IC: IFA (Generation),I_I2G-CNRE1,IFA2 Interconnector (Generation) - Unknown,South East England
IC: IFA (Generation),I_I2G-CONV1,IFA2 Interconnector (Generation) - Convex Energy GmbH (GEAG),South East England
IC: IFA (Generation),I_I2G-DSKC1,IFA2 Interconnector (Generation) - Danske Commodities A/S ,South East England
IC: IFA (Generation),I_I2G-DUGE1,IFA2 Interconnector (Generation) - DVALIN ApS (DVALIN),South East England
IC: IFA (Generation),I_I2G-DVAL1,IFA2 Interconnector (Generation) - DXT Commodities SA ,South East England
IC: IFA (Generation),I_I2G-EDFT1,IFA2 Interconnector (Generation) - EDF TRADING LIMITED (EDFT),South East England
IC: IFA (Generation),I_I2G-EDMK1,IFA2 Interconnector (Generation) - Energi Danmark A/S ,South East England
IC: IFA (Generation),I_I2G-ELEE1,IFA2 Interconnector (Generation) - Electrabel SA ,South East England
IC: IFA (Generation),I_I2G-ELTR1,IFA2 Interconnector (Generation) - GDF SUEZ Trading (GASELYS),South East England
IC: IFA (Generation),I_I2G-GASE1,IFA2 Interconnector (Generation) - ElectroRoute Energy Trading ,South East England
IC: IFA (Generation),I_I2G-GAZP1,IFA2 Interconnector (Generation) - GAZPROM MARKETING & TRADING LD ,South East England
IC: IFA (Generation),I_I2G-GRMT1,IFA2 Interconnector (Generation) - A/S Global Risk Management Ltd ,South East England
IC: IFA (Generation),I_I2G-IBES1,IFA2 Interconnector (Generation) - IBERDROLA GENERACION ESPANA (IBEGENES),South East England
IC: IFA (Generation),I_I2G-INCM1,IFA2 Interconnector (Generation) - IN COMMODITIES A/S ,South East England
IC: IFA (Generation),I_I2G-MCRA1,IFA2 Interconnector (Generation) - Mercuria Energy Trading SA ,South East England
IC: IFA (Generation),I_I2G-MFTE1,IFA2 Interconnector (Generation) - MFT Energy A/S ,South East England
IC: IFA (Generation),I_I2G-NDPL1,IFA2 Interconnector (Generation) - European Market Coupling ,South East England
IC: IFA (Generation),I_I2G-NEAS1,IFA2 Interconnector (Generation) - NEAS Energy Ltd. (CNDA),South East England
IC: IFA (Generation),I_I2G-NEHO1,IFA2 Interconnector (Generation) - Nordic Energy House ApS ,South East England
IC: IFA (Generation),I_I2G-NTPL1,IFA2 Interconnector (Generation) - Northpool BV ,South East England
IC: IFA (Generation),I_I2G-NVAL1,IFA2 Interconnector (Generation) - Nvalue AG,South East England
IC: IFA (Generation),I_I2G-OPMX1,IFA2 Interconnector (Generation) - Optimax Energy GmbH ,South East England
IC: IFA (Generation),I_I2G-PWMR1,IFA2 Interconnector (Generation) - PowerMart ApS ,South East England
IC: IFA (Generation),I_I2G-SETL1,IFA2 Interconnector (Generation) - Shell Energy Europe Limited ,South East England
IC: IFA (Generation),I_I2G-SSEG1,IFA2 Interconnector (Generation) - SSE Energy Supply Limited,South East England
IC: IFA (Generation),I_I2G-STAT1,IFA2 Interconnector (Generation) - Statkraft Markets Gmbh ,South East England
IC: IFA (Generation),I_I2G-TGPL1,IFA2 Interconnector (Generation) - Total Gas & Power Ltd ,South East England
IC: IFA (Generation),I_I2G-TRLS1,IFA2 Interconnector (Generation) - TrailStone Renewables GmbH ,South East England
IC: IFA (Generation),I_I2G-VSAL1,IFA2 Interconnector (Generation) - VITOL SA ,South East England
IC: IFA (Generation),I_I2G-VTET1,IFA2 Interconnector (Generation) - Vattenfall Energy Trading ,South East England
IC: IFA (Generation),I_I2G-XNON1,IFA2 Interconnector (Generation) - XENON Capital Markets Ltd ,South East England
IC: BritNed (Demand),I_IBD-ARON1,Britned Interconnector (Demand) - J.Aron and Company ,South East England
IC: BritNed (Demand),I_IBD-BARC1,Britned Interconnector (Demand) - Barclays Bank plc ,South East England
IC: BritNed (Demand),I_IBD-BPGE1,Britned Interconnector (Demand) - BP Gas Marketing Limited ,South East England
IC: BritNed (Demand),I_IBD-BRTN1,Britned Interconnector (Demand) - BritNed Development Ltd ,South East England
IC: BritNed (Demand),I_IBD-CBST1,Britned Interconnector (Demand) - Cobblestone Energy ,South East England
IC: BritNed (Demand),I_IBD-CENT1,Britned Interconnector (Demand) - Centrica Energy Limited ,South East England
IC: BritNed (Demand),I_IBD-CGML1,Britned Interconnector (Demand) - Citigroup Global Markets Ltd ,South East England
IC: BritNed (Demand),I_IBD-CNGS1,Britned Interconnector (Demand) - Cenergise Limited ,South East England
IC: BritNed (Demand),I_IBD-DBNK1,Britned Interconnector (Demand) - Deutsche Bank AG London ,South East England
IC: BritNed (Demand),I_IBD-DNGN1,Britned Interconnector (Demand) - Dong Energy Markets ,South East England
IC: BritNed (Demand),I_IBD-DSKC1,Britned Interconnector (Demand) - Danske Commodities A/S ,South East England
IC: BritNed (Demand),I_IBD-DUFE1,Britned Interconnector (Demand) - DXT Commodities SA ,South East England
IC: BritNed (Demand),I_IBD-DVAL1,Britned Interconnector (Demand) - DVALIN ApS ,South East England
IC: BritNed (Demand),I_IBD-EDFT1,Britned Interconnector (Demand) - EDF Trading Limited ,South East England
IC: BritNed (Demand),I_IBD-EDMK1,Britned Interconnector (Demand) - Energi Danmark A/S ,South East England
IC: BritNed (Demand),I_IBD-EGEN1,Britned Interconnector (Demand) - Endesa Generacion SAU ,South East England
IC: BritNed (Demand),I_IBD-EGLE1,Britned Interconnector User - EG Laufenburg ,South East England
IC: BritNed (Demand),I_IBD-ELEE1,Britned Interconnector (Demand) - Electrabel SA ,South East England
IC: BritNed (Demand),I_IBD-ELTR1,Britned Interconnector (Demand) - ElectroRoute Energy Trading ,South East England
IC: BritNed (Demand),I_IBD-ENEL1,Britned Interconnector (Demand) - Enel Trade SpA ,South East England
IC: BritNed (Demand),I_IBD-ENET1,Britned Interconnector (Demand) - Eneco Energy Trade ,South East England
IC: BritNed (Demand),I_IBD-EOET1,Britned Interconnector (Demand) - E.ON Energy Trading SE ,South East England
IC: BritNed (Demand),I_IBD-ERVA1,Britned Interconnector (Demand) - Erova Energy Limited ,South East England
IC: BritNed (Demand),I_IBD-ETSA1,Britned Interconnector (Demand) - ENDESA TRADING SA ,South East England
IC: BritNed (Demand),I_IBD-FPCD1,IFA1 Interconnector (Demand) - Freepoint Commodities Europe ,South East England
IC: BritNed (Demand),I_IBD-GAZP1,Britned Interconnector (Demand) - Gazprom Marketing & Trading Limited ,South East England
IC: BritNed (Demand),I_IBD-IBER1,Britned Interconnector (Demand) - Iberdrola Generacion S.A.U. ,South East England
IC: BritNed (Demand),I_IBD-IBES1,Britned Interconnector (Demand) - Iberdrola Generacion Espana ,South East England
IC: BritNed (Demand),I_IBD-IDCE1,Britned Interconnector (Demand) - DC Energy Trading B.V. ,South East England
IC: BritNed (Demand),I_IBD-INCM1,Britned Interconnector (Demand) -  In Commodities A/S ,South East England
IC: BritNed (Demand),I_IBD-JPMS1,Britned Interconnector (Demand) - JP Morgan Securities Plc ,South East England
IC: BritNed (Demand),I_IBD-KCST1,Britned Interconnector (Demand) - KOCH SUPPLY & TRADING SARL ,South East England
IC: BritNed (Demand),I_IBD-LTFD1,Britned Interconnector (Demand) - Lightfield Ltd ,South East England
IC: BritNed (Demand),I_IBD-MCRA1,Britned Interconnector (Demand) - Mercuria Energy Trading SA ,South East England
IC: BritNed (Demand),I_IBD-MFTE1,Britned Interconnector (Demand) - MFT Energy A/S ,South East England
IC: BritNed (Demand),I_IBD-MLCE1,Britned Interconnector (Demand) - Merrill Lynch Commodities Ltd ,South East England
IC: BritNed (Demand),I_IBD-MQBK1,Britned Interconnector (Demand) - Macquarie Bank Limited ,South East England
IC: BritNed (Demand),I_IBD-MSCG1,Britned Interconnector (Demand) - Morgan Stanley ,South East England
IC: BritNed (Demand),I_IBD-MSCGI,Unknown ,South East England
IC: BritNed (Demand),I_IBD-NBCF1,Britned Interconnector (Demand) - Noble Clean Fuels Limited ,South East England
IC: BritNed (Demand),I_IBD-NEAS1,Britned Interconnector (Demand) - NEAS Energy A/S ,South East England
IC: BritNed (Demand),I_IBD-NEHO1,Britned Interconnector (Demand) - Nordic Energy House ApS ,South East England
IC: BritNed (Demand),I_IBD-NTPL1,Britned Interconnector (Demand) - Northpool BV ,South East England
IC: BritNed (Demand),I_IBD-OPMX1,Britned Interconnector (Demand) - Optimax Energy GmbH ,South East England
IC: BritNed (Demand),I_IBD-PTRS1,Britned Interconnector (Generation) - Petroineos Trading Ltd ,South East England
IC: BritNed (Demand),I_IBD-PWMR1,Britned Interconnector (Demand) -  PowerMart ApS ,South East England
IC: BritNed (Demand),I_IBD-PZEM1,Britned Interconnector (Demand) - PZEM Energy B.V. ,South East England
IC: BritNed (Demand),I_IBD-RWES1,Britned Interconnector (Demand) - RWE Supply and Trading GmbH ,South East England
IC: BritNed (Demand),I_IBD-SETL1,Britned Interconnector (Demand) - Shell Energy Europe Limited ,South East England
IC: BritNed (Demand),I_IBD-SSEG1,Britned Interconnector (Demand) - SSE Energy Supply Limited,South East England
IC: BritNed (Demand),I_IBD-STAT1,Britned Interconnector (Demand) - Statkraft Markets Gmbh ,South East England
IC: BritNed (Demand),I_IBD-TGPL1,Britned Interconnector (Demand) - Total Gas & Power Ltd ,South East England
IC: BritNed (Demand),I_IBD-TRLS1,Britned Interconnector (Demand) - Trailstone GMBH ,South East England
IC: BritNed (Demand),I_IBD-VETR1,Britned Interconnector (Demand) - Vattenfall Trading Services ,South East England
IC: BritNed (Demand),I_IBD-VSAL1,Britned Interconnector (Demand) - Vitol SA ,South East England
IC: BritNed (Demand),I_IBD-XNON1,Britned Interconnector (Demand) - XENON CAPITAL MARKETS LTD ,South East England
IC: BritNed (Generation),I_IBG-ARON1,Britned Interconnector (Generation) - J.Aron and Company ,South East England
IC: BritNed (Generation),I_IBG-BARC1,Britned Interconnector (Generation) - Barclays Bank plc ,South East England
IC: BritNed (Generation),I_IBG-BPGE1,Britned Interconnector (Generation) - BP Gas Marketing Limited ,South East England
IC: BritNed (Generation),I_IBG-BRTN1,Britned Interconnector (Generation) - BritNed Development Ltd ,South East England
IC: BritNed (Generation),I_IBG-CBST1,Britned Interconnector (Generation) - Cobblestone Energy ,South East England
IC: BritNed (Generation),I_IBG-CENT1,Britned Interconnector (Generation) - Centrica Energy Limited ,South East England
IC: BritNed (Generation),I_IBG-CGML1,Britned Interconnector (Generation) - Citigroup Global Markets Ltd ,South East England
IC: BritNed (Generation),I_IBG-CNGS1,Britned Interconnector (Generation) - Cenergise Limited ,South East England
IC: BritNed (Generation),I_IBG-DBNK1,Britned Interconnector (Generation) - Deutsche Bank AG London ,South East England
IC: BritNed (Generation),I_IBG-DNGN1,Britned Interconnector (Generation) - Dong Energy Markets ,South East England
IC: BritNed (Generation),I_IBG-DSKC1,Britned Interconnector (Generation) - Danske Commodities A/S ,South East England
IC: BritNed (Generation),I_IBG-DUFE1,Britned Interconnector (Generation) - DXT Commodities SA ,South East England
IC: BritNed (Generation),I_IBG-DVAL1,Britned Interconnector (Generation) - DVALIN ApS ,South East England
IC: BritNed (Generation),I_IBG-EDFT1,Britned Interconnector (Generation) - EDF Trading Limited ,South East England
IC: BritNed (Generation),I_IBG-EDMK1,Britned Interconnector (Generation) - Energi Danmark A/S ,South East England
IC: BritNed (Generation),I_IBG-EGEN1,Britned Interconnector (Generation) - Endesa Generacion SAU ,South East England
IC: BritNed (Generation),I_IBG-EGLE1,Britned Interconnector (Generation) - Axpo Solutions AG (EGL),South East England
IC: BritNed (Generation),I_IBG-ELEE1,Britned Interconnector (Generation) - Electrabel SA ,South East England
IC: BritNed (Generation),I_IBG-ELTR1,Britned Interconnector (Generation) - ElectroRoute Energy Trading ,South East England
IC: BritNed (Generation),I_IBG-ENEL1,Britned Interconnector (Generation) - Enel Trade SpA ,South East England
IC: BritNed (Generation),I_IBG-ENET1,Britned Interconnector (Generation) - Eneco Energy Trade ,South East England
IC: BritNed (Generation),I_IBG-EOET1,Britned Interconnector (Generation) - E.ON Energy Trading SE ,South East England
IC: BritNed (Generation),I_IBG-ERVA1,Britned Interconnector (Generation) - Erova Energy Limited ,South East England
IC: BritNed (Generation),I_IBG-ETSA1,Britned Interconnector (Generation) - ENDESA TRADING SA ,South East England
IC: BritNed (Generation),I_IBG-FPCD1,Britned Interconnector (Generation) - Freepoint Commodities Europe ,South East England
IC: BritNed (Generation),I_IBG-GAZP1,Britned Interconnector (Generation) - Gazprom Marketing & Trading Limited ,South East England
IC: BritNed (Generation),I_IBG-IBER1,Britned Interconnector (Generation) - Iberdrola Generacion S.A.U. ,South East England
IC: BritNed (Generation),I_IBG-IBES1,Britned Interconnector (Generation) - Iberdrola Generacion Espana ,South East England
IC: BritNed (Generation),I_IBG-IDCE1,Britned Interconnector (Generation) - DC Energy Trading B.V. ,South East England
IC: BritNed (Generation),I_IBG-INCM1,Britned Interconnector (Generation) -  In Commodities A/S ,South East England
IC: BritNed (Generation),I_IBG-JPMS1,Britned Interconnector (Generation) - JP Morgan Securities Plc ,South East England
IC: BritNed (Generation),I_IBG-KCST1,Britned Interconnector (Generation) - KOCH SUPPLY & TRADING SARL ,South East England
IC: BritNed (Generation),I_IBG-LTFD1,Britned Interconnector (Generation) - Lightfield Ltd ,South East England
IC: BritNed (Generation),I_IBG-MCRA1,Britned Interconnector (Generation) - Mercuria Energy Trading SA ,South East England
IC: BritNed (Generation),I_IBG-MFTE1,Britned Interconnector (Generation) - MFT Energy A/S ,South East England
IC: BritNed (Generation),I_IBG-MLCE1,Britned Interconnector (Generation) - Merrill Lynch Commodities Ltd ,South East England
IC: BritNed (Generation),I_IBG-MQBK1,Britned Interconnector (Generation) - Macquarie Bank Limited ,South East England
IC: BritNed (Generation),I_IBG-MSCG1,Britned Interconnector (Generation) - Morgan Stanley ,South East England
IC: BritNed (Generation),I_IBG-MSCGI,Unknown ,South East England
IC: BritNed (Generation),I_IBG-NBCF1,Britned Interconnector (Generation) - Noble Clean Fuels Limited ,South East England
IC: BritNed (Demand),I_IBG-NEAS1,Britned Interconnector (Demand) - NEAS Energy A/S ,South East England
IC: BritNed (Generation),I_IBG-NEHO1,Britned Interconnector (Generation) - Nordic Energy House ApS ,South East England
IC: BritNed (Generation),I_IBG-NTPL1,Britned Interconnector (Generation) - Northpool BV ,South East England
IC: BritNed (Generation),I_IBG-OPMX1,Britned Interconnector (Generation) - Optimax Energy GmbH ,South East England
IC: BritNed (Generation),I_IBG-PTRS1,Britned Interconnector (Generation) - Petroineos Trading Ltd ,South East England
IC: BritNed (Generation),I_IBG-PWMR1,Britned Interconnector (Generation) - PowerMart ApS ,South East England
IC: BritNed (Generation),I_IBG-PZEM1,Britned Interconnector (Generation) - PZEM Energy B.V. ,South East England
IC: BritNed (Generation),I_IBG-RWES1,Britned Interconnector (Generation) - RWE Supply and Trading GmbH ,South East England
IC: BritNed (Generation),I_IBG-SETL1,Britned Interconnector (Generation) - Shell Energy Europe Limited ,South East England
IC: BritNed (Generation),I_IBG-SSEG1,Britned Interconnector (Generation) - SSE Energy Supply Limited,South East England
IC: BritNed (Generation),I_IBG-STAT1,Britned Interconnector (Generation) - Statkraft Markets Gmbh ,South East England
IC: BritNed (Generation),I_IBG-TGPL1,Britned Interconnector (Generation) - Total Gas & Power Ltd ,South East England
IC: BritNed (Generation),I_IBG-TRLS1,Britned Interconnector (Generation) - Trailstone GMBH ,South East England
IC: BritNed (Generation),I_IBG-VETR1,Britned Interconnector (Generation) - Vattenfall Trading Services ,South East England
IC: BritNed (Generation),I_IBG-VSAL1,Britned Interconnector (Generation) - Vitol SA ,South East England
IC: BritNed (Generation),I_IBG-XNON1,Britned Interconnector (Generation) - XENON CAPITAL MARKETS LTD ,South East England
IC: ElecLink (Demand),I_IED-ELEC1,ElecLink Interconnector (Demand - ElecLink Ltd ,South East England
IC: East/West (Demand),I_IED-EWIC1,East West Interconnector (Demand) - EirGrid Interconnector Limited ,Merseyside and North Wales
IC: IFA (Demand),I_IED-FRAN1,IFA1 Interconnector (Demand) - National Grid Company ,South East England
IC: IFA (Demand),I_IED-IFA2,IFA2 Interconnector (Demand) - National Grid IFA 2 Limited ,South East England
IC: Moyle (Demand),I_IED-MOYL1,Moyle Interconnector (Demand) - SONI Ltd ,South Scotland
IC: Scottish (Demand),I_IED-SCOT1,Scottish Interconnector (Demand) - SP Transmission Ltd ,South Scotland
IC: ElecLink (Generation),I_IEG-ELEC1,ElecLink Interconnector (Generation - ElecLink Ltd ,South East England
IC: East/West (Generation),I_IEG-EWIC1,East West Interconnector (Generation) - EirGrid Interconnector Limited ,Merseyside and North Wales
IC: IFA (Generation),I_IEG-FRAN1,IFA1 Interconnector (Generation) - National Grid Company ,South East England
IC: IFA (Generation),I_IEG-IFA2,IFA2 Interconnector (Generation) - National Grid IFA 2 Limited ,South East England
IC: Moyle (Generation),I_IEG-MOYL1,Moyle Interconnector (Generation) - SONI Ltd ,South Scotland
IC: Scottish (Generation),I_IEG-SCOT1,Scottish Interconnector (Generation) - SP Transmission Ltd ,South Scotland
IC: IFA (Demand),I_IFD-ACCE1,IFA1 Interconnector (Demand) - Accord Energy ,South East England
IC: IFA (Demand),I_IFD-AELE1,IFA1 Interconnector (Demand) - Aquila Energy Limited ,South East England
IC: IFA (Demand),I_IFD-AEPE1,IFA1 Interconnector (Demand) - AEP Energy Services Limited ,South East England
IC: IFA (Demand),I_IFD-ALEU1,IFA1 Interconnector (Demand) - Alphataraxia Europium BV (ATX),South East England
IC: IFA (Demand),I_IFD-ARON1,IFA1 Interconnector (Demand) - J.Aron & Company ,South East England
IC: IFA (Demand),I_IFD-AXIE1,IFA1 Interconnector (Demand) - Entergy-Koch Trading Ltd ,South East England
IC: IFA (Demand),I_IFD-AXPO1,IFA1 Interconnector (Demand) - AXPO ,South East England
IC: IFA (Demand),I_IFD-BARB1,IFA1 Interconnector (Demand) - Barclays Bank plc ,South East England
IC: IFA (Demand),I_IFD-BEGE1,IFA1 Interconnector (Demand) - BE Power & Energy Trading Ltd ,South East England
IC: IFA (Demand),I_IFD-BHPB1,IFA1 Interconnector (Demand) - BHP Billiton Marketing AG ,South East England
IC: IFA (Demand),I_IFD-BKWE1,IFA1 Interconnector (Demand) - BKW FMB Energie AG ,South East England
IC: IFA (Demand),I_IFD-BNPS1,IFA1 Interconnector (Demand) - BNP Paribas ,South East England
IC: IFA (Demand),I_IFD-BPGE1,IFA1 Interconnector (Demand) - BP Gas Marketing Limited ,South East England
IC: IFA (Demand),I_IFD-BPGEI,IFA1 Interconnector (Demand) - BP Gas Marketing Ltd ,South East England
IC: IFA (Demand),I_IFD-BTGP1,IFA1 Interconnector (Demand) - Engelhart CTP (Switzerland) SA ,South East England
IC: IFA (Demand),I_IFD-CARE1,IFA1 Interconnector (Demand) - Cargill PLC ,South East England
IC: IFA (Demand),I_IFD-CBST1,IFA Interconnector (Demand) - Cobblestone Energy ,South East England
IC: IFA (Demand),I_IFD-CECG1,IFA1 Interconnector (Demand) - Constellation Energy C.G. Inc. ,South East England
IC: IFA (Demand),I_IFD-CEZC1,IFA1 Interconnector (Demand) - CEZ A.S.,South East England
IC: IFA (Demand),I_IFD-CGML1,IFA1 Interconnector (Demand) - Citigroup Global Markets Ltd ,South East England
IC: IFA (Demand),I_IFD-CGTE1,IFA1 Interconnector (Demand) - Cinergy Global Trading Limited ,South East England
IC: IFA (Demand),I_IFD-CNGS1,IFA1 Interconnector (Generation) - Cenergise Limited ,South East England
IC: IFA (Demand),I_IFD-CNRE1,IFA1 Interconnector (Demand) - Compagnie Nationale du Rhone ,South East England
IC: IFA (Demand),I_IFD-CONV1,IFA1 Interconnector (Demand) - Convex Energy GmbH (GEAG),South East England
IC: IFA (Demand),I_IFD-DBNK1,IFA1 Interconnector (Demand) - Deutsche Bank AG London ,South East England
IC: IFA (Demand),I_IFD-DNGN1,IFA1 Interconnector (Demand) - Dong Energy Markets ,South East England
IC: IFA (Demand),I_IFD-DSKC1,IFA1 Interconnector (Demand) - Danske Commodities A/S ,South East England
IC: IFA (Demand),I_IFD-DUFE1,IFA1 Interconnector (Demand - DXT Commodities SA ,South East England
IC: IFA (Demand),I_IFD-DUKE1,IFA1 Interconnector (Demand) - Duke Energy ,South East England
IC: IFA (Demand),I_IFD-DVAL1,IFA1 Interconnector (Demand) - DVALIN ApS ,South East England
IC: IFA (Demand),I_IFD-DYNE1,IFA1 Interconnector (Demand) - Dynegy ,South East England
IC: IFA (Demand),I_IFD-ECCA1,IFA1 Interconnector (Demand) - ECC AG ,South East England
IC: IFA (Demand),I_IFD-EDEF1,IFA1 Interconnector (Demand) - EDF GENERATION ,South East England
IC: IFA (Demand),I_IFD-EDFT1,IFA1 Interconnector (Demand) - EDF TRADING LIMITED ,South East England
IC: IFA (Demand),I_IFD-EDMK1,IFA1 Interconnector (Demand) - Energi Danmark A/S ,South East England
