BM Unit ID,BMU Name,Party Name,Party ID,BMU Type,Generator Fuel Type,NGC BMU Name,GSP Group Id,GSP Group Name,Trading Unit Name,Prod/Cons Flag,Prod/Cons Status,TLF,GC,DC,WDCALF,NWDCALF,SECALF,WDBMCAIC,NWDBMCAIC,WDBMCAEC,NWDBMCAEC,Exempt Export Flag,Base TU Flag,FPN Flag,Interconnector Id,Effective From, Manual Credit Qualifying Flag, Credit Qualifying Status
2__PGANY000,2__PGANY000,Solarplicity Supply Limited,GANYMEDE,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,6.4,-0.77,0.4552,0.4174,0.4443,-0.351,-0.321,2.913,2.671,F,T,F,,01/12/18,,F
2__PGESL000,2__PGESL000,SO Energy Trading Limited,GOLD,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-1.2,0.4923,0.5323,0.25,-0.591,-0.639,0,0,F,T,F,,01/12/18,,F
2__PGETW000,2__PGETW000,Utilita Energy Limited,UTILITA,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-6,0.4505,0.4689,0.25,-2.703,-2.813,0,0,F,T,F,,15/01/19,,F
2__PGMTR000,2__PGMTR000,Gazprom M & T Retail Ltd,GMTR,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,6,-15.316,0.455,0.3252,0.25,-6.969,-4.981,2.73,1.951,F,T,F,,01/12/18,,F
2__PGNRG000,2__PGNRG000,Green Energy (UK) Plc,GRNUKPLC,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,4,0,0.8024,0.811,0.8049,0,0,3.22,3.22,F,T,F,,28/01/19,,F
2__PGONG000,2__PGONG000,First Utility Limited,FRST01,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.42,0.46,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PHAVE000,2__PHAVE000,Haven Power Ltd,HAVEN,G,,NSC-HVN01,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,35.496,0,0.4634,0.4488,0.25,0,0,8.874,8.874,F,T,T,,01/12/18,,F
2__PHAWK000,2__PHAWK000,MAXEN POWER SUPPLY LIMITED,HAWKING,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PHOLB000,2__PHOLB000,Holborn Energy Limited,HOLBORN,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,,F
2__PHOME000,2__PHOME000,ENGIE Power Limited,RWETDL,G,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,-2,0.4994,0.542,0.25,-0.999,-1.084,0,0,F,T,F,,01/12/18,,F
2__PHPOW000,2__PHPOW000,Haven Power Ltd,HAVEN,G,,NSC-HPW01,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,9.45,-48,0.7454,0.6319,0.25,-35.779,-30.331,7.044,5.971,F,T,T,,03/01/19,,F
2__PHPOW001,__PHPOW001,Haven Power Ltd,HAVEN,S,,,_P,NORTH of SCOTLAND GSP,DEFAULT__P,,C,-0.0263604,0,0,0.4634,0.4488,0.25,0,0,0,0,F,T,F,,01/12/18,F,F
